reporting_period,project_number,legacy_project_number,street_address,city,county,state,zip_code,incorporated_municipality,municipality_type,census_tract,nys_disadvantaged_community_status,climate_and_economic_justice_screening_tool_status,sector,program_type,solicitation,electric_utility,purchase_type,date_application_received,date_install,project_status,contractor,minority_or_women_owned_business_enterprise_mwbe,inverter_manufacturer,primary_inverter_model_number,inverter_quantity,pv_module_manufacturer,pv_module_model_number,pv_module_quantity,project_cost,total_nyserda_incentive,affordable_solar_residential_adder,affordable_multifamily_housing_incentive,community_adder,inclusive_community_solar_adder,expanded_solar_for_all_adder,brownfield_landfill_adder,canopy_adder,prevailing_wage_adder,totalnameplatekwdc,expected_kwh_annual_production,remote_net_metering,community_distributed_generation,green_jobs_green_new_york_participant,latitude,longitude,georeference
2023-11-30T00:00:00Z,82869,NA,505 Carroll St,Brooklyn,Kings,NY,11215,New York,City,36047011900,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-05-04T00:00:00Z,2019-09-13T00:00:00Z,Complete,UGE USA Inc.,No,Huawei Technologies,SUN2000-25KTL-US,4,Jinko Solar,JKM325P-72-V,322,290180,53810,0,0,0,0,0,0,0,0,104.65,120339,NA,Yes,No,40.67683567,-73.98538855,POINT (-73.98538855 40.67683567)
2023-11-30T00:00:00Z,90249,NA,1260 Zerega Ave,Bronx,Bronx,NY,10462,New York,City,36005009600,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Commercial/Industrial (MW Block),PON 3082,Consolidated Edison,Lease,2017-07-11T00:00:00Z,2020-03-10T00:00:00Z,Complete,UGE USA Inc.,No,"Sungrow Power Supply Co., Ltd.",SG60KU-M,8,"Jinko Solar Co., Ltd",JKM365M-72-V,1728,1250000,456059,0,0,0,0,0,0,0,0,630.72,740364,NA,Yes,No,40.83457403,-73.84515737,POINT (-73.84515737 40.83457403)
2023-11-30T00:00:00Z,114897,NA,508 Madison St,Brooklyn,Kings,NY,11221,New York,City,36047027700,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2018-03-14T00:00:00Z,2018-04-11T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,Enphase Energy Inc.,S280-60-LL-x (208V),13,LG Electronics,LG320N1C-G4,13,26464,2496,0,0,0,0,0,0,0,0,4.16,5084,NA,Yes,No,40.68606672,-73.93770824,POINT (-73.93770824 40.68606672)
2023-11-30T00:00:00Z,126552,NA,838 Park Pl,Brooklyn,Kings,NY,11216,New York,City,36047031701,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2018-06-27T00:00:00Z,2018-08-15T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB6.0-1SP-US-40 [208V],6,LG Electronics Inc.,LG335N1C-A5,100,148306,33500,0,13400,0,0,0,0,0,0,33.5,39545,NA,Yes,No,40.67327725,-73.94980867,POINT (-73.94980867 40.67327725)
2023-11-30T00:00:00Z,126636,NA,58 Monroe St,Brooklyn,Kings,NY,11238,New York,City,36047022900,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2018-06-26T00:00:00Z,2018-09-17T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB5.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG360Q1C-A5,10,23990,2160,0,0,0,0,0,0,0,0,3.6,4500,NA,Yes,No,40.68459852,-73.95701944,POINT (-73.95701944 40.68459852)
2023-11-30T00:00:00Z,128194,NA,48-8 47th St,Woodside,Queens,NY,11377,New York,City,36081023500,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-02-21T00:00:00Z,2020-11-02T00:00:00Z,Complete,"Solar Liberty Energy Systems, Inc.",No,SolarEdge Technologies Ltd.,SE14.4KUS [208V],1,Hanwha Q CELLS,Q.PEAK DUO L-G5.2 400,35,37380,7980,0,0,0,0,0,0,0,0,14,16476,NA,Yes,No,40.73905057,-73.9186339,POINT (-73.9186339 40.73905057)
2023-11-30T00:00:00Z,95307,NA,2042 Pitkin Ave,Brooklyn,Kings,NY,11207,New York,City,36047114400,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Commercial/Industrial (MW Block),PON 3082,Consolidated Edison,Purchase,2017-09-08T00:00:00Z,2019-01-08T00:00:00Z,Complete,"PowerFlex Solar, LLC",No,SolarEdge Technologies,SE33.3KUS,15,SunPower,SPR-P17-350-COM,2140,1509520,526446,0,0,0,0,0,0,0,0,749,879206,NA,Yes,No,40.67153074,-73.89732467,POINT (-73.89732467 40.67153074)
2023-11-30T00:00:00Z,127372,NA,530 Cozine Ave,Brooklyn,Kings,NY,11208,New York,City,36047107800,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2018-08-02T00:00:00Z,2020-03-19T00:00:00Z,Complete,"OnForce Solar, Inc.",No,Yaskawa Solectria Solar,PVI 14TL-208,8,Canadian Solar Inc.,CS3U-340P,405,226770,82620,0,0,0,0,0,0,0,0,137.7,163088,NA,Yes,No,40.66017518,-73.87297603,POINT (-73.87297603 40.66017518)
2023-11-30T00:00:00Z,128203,NA,48- 35 46 St,Woodside,Queens,NY,11377,New York,City,36081023500,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-02-21T00:00:00Z,2020-12-09T00:00:00Z,Complete,"Solar Liberty Energy Systems, Inc.",No,SolarEdge Technologies Ltd.,SE14.4KUS [208V],1,Hanwha Q CELLS,Q.PEAK DUO L-G5.2 400,40,42720,9120,0,0,0,0,0,0,0,0,16,18830,NA,Yes,No,40.73823391,-73.91953985,POINT (-73.91953985 40.73823391)
2023-11-30T00:00:00Z,143824,NA,400 Degraw St,Brooklyn,Kings,NY,11231,New York,City,36047007500,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2018-08-04T00:00:00Z,2018-10-08T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB3.8-1SP-US-40 [208V],1,Sunpreme Inc.,SNPM-GxB-310y,10,26435,1860,0,0,0,0,0,0,0,0,3.1,3703,NA,Yes,No,40.68226623,-73.99170279,POINT (-73.99170279 40.68226623)
2023-11-30T00:00:00Z,127422,NA,628 E 17 St,Brooklyn,Kings,NY,11226,New York,City,36047051800,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-05-14T00:00:00Z,2019-05-30T00:00:00Z,Complete,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE14.4KUS [208V],5,Sunpower,SPR-X22-360-COM,236,269132,50976,0,0,0,0,0,0,0,0,84.96,99821,NA,Yes,No,40.63512097,-73.96151488,POINT (-73.96151488 40.63512097)
2023-11-30T00:00:00Z,103537,NA,1140 Bronx River Ave,Bronx,Bronx,NY,10472,New York,City,36005005200,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-11-29T00:00:00Z,2018-12-21T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS,3,Panasonic Group SANYO Electric,VBHN325SA16,396,542295,61480,0,0,0,0,0,0,0,0,128.7,158508,NA,Yes,No,40.82650387,-73.88332734,POINT (-73.88332734 40.82650387)
2023-11-30T00:00:00Z,95416,NA,55-30 58th St,Maspeth,Queens,NY,11378,New York,City,36081021900,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Commercial/Industrial (MW Block),PON 3082,Consolidated Edison,Power Purchase Agreement,2017-09-08T00:00:00Z,2020-03-24T00:00:00Z,Complete,"Accord Power, Inc.",No,SMA America,STP24000TL-US-10 [480V],35,Sunpower,SPR-X22-360-COM,2552,2287613,515493,0,0,0,0,0,0,0,0,918.72,1078430,NA,Yes,No,40.72680523,-73.91218001,POINT (-73.91218001 40.72680523)
2023-11-30T00:00:00Z,97240,NA,1170 Commerce Ave,Bronx,Bronx,NY,10462,New York,City,36005009600,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Commercial/Industrial (MW Block),PON 3082,Consolidated Edison,Purchase,2017-10-21T00:00:00Z,2020-03-09T00:00:00Z,Complete,"OnForce Solar, Inc.",No,Canadian Solar Inc.,CSI-60KTL-CT [480V],15,Canadian Solar Inc.,CS6X-340M-FG,3240,2834640,805344,0,0,0,0,0,0,0,0,1101.6,1293102,NA,Yes,No,40.83394921,-73.84079318,POINT (-73.84079318 40.83394921)
2023-11-30T00:00:00Z,95306,NA,2016 Pitkin Ave,Brooklyn,Kings,NY,11207,New York,City,36047114400,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Commercial/Industrial (MW Block),PON 3082,Consolidated Edison,Purchase,2017-09-08T00:00:00Z,2018-10-16T00:00:00Z,Complete,"PowerFlex Solar, LLC",No,SolarEdge Technologies,SE33.3KUS,9,SunPower,SPR-P17-350-COM,1185,866840,300659,0,0,0,0,0,0,0,0,414.75,486850,NA,Yes,No,40.67128446,-73.89832604,POINT (-73.89832604 40.67128446)
2023-11-30T00:00:00Z,100539,NA,48- 85 Maspeth Ave,Maspeth,Queens,NY,11378,New York,City,36081021900,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Commercial/Industrial (MW Block),PON 3082,Consolidated Edison,Power Purchase Agreement,2017-10-21T00:00:00Z,2019-11-13T00:00:00Z,Complete,"Accord Power, Inc.",No,SMA America,STP24000TL-US-10 [480V],12,Sunpower,SPR-X22-360-COM,1056,946598.29,229897,0,0,0,0,0,0,0,0,380.16,446247,NA,Yes,No,40.72281986,-73.91972388,POINT (-73.91972388 40.72281986)
2023-11-30T00:00:00Z,128200,NA,48- 25 46 St,Woodside,Queens,NY,11377,New York,City,36081023500,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-02-21T00:00:00Z,2020-11-02T00:00:00Z,Complete,"Solar Liberty Energy Systems, Inc.",No,SolarEdge Technologies Ltd.,SE14.4KUS [208V],1,Hanwha Q CELLS,Q.PEAK DUO L-G5.2 400,34,36312,7752,0,0,0,0,0,0,0,0,13.6,16005,NA,Yes,No,40.73851131,-73.91948428,POINT (-73.91948428 40.73851131)
2023-11-30T00:00:00Z,128178,NA,47-15 48th St,Woodside,Queens,NY,11377,New York,City,36081023500,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-06-05T00:00:00Z,2020-11-23T00:00:00Z,Complete,"Solar Liberty Energy Systems, Inc.",No,SolarEdge Technologies Ltd.,SE14.4KUS [208V],1,Hanwha Q CELLS,Q.PEAK DUO L-G5.2 400,37,39516,8436,0,0,0,0,0,0,0,0,14.8,17620,NA,Yes,No,40.74062832,-73.91723042,POINT (-73.91723042 40.74062832)
2023-11-30T00:00:00Z,95431,NA,900 E 136 St,Bronx,Bronx,NY,10454,New York,City,36005001900,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2017-09-08T00:00:00Z,2018-09-28T00:00:00Z,Complete,"OnForce Solar, Inc.",No,Canadian Solar Inc.,CSI-28KTL-CT,4,Canadian Solar,CS6U-340M,560,639064,86160,0,0,0,0,0,0,0,0,190.4,245964,NA,Yes,No,40.80116669,-73.90909485,POINT (-73.90909485 40.80116669)
2023-11-30T00:00:00Z,184589,NA,72-1 51st Ave,Woodside,Queens,NY,11377,New York,City,36081048900,Outside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-05-08T00:00:00Z,2020-01-28T00:00:00Z,Complete,Sol Alliance Solar Development,No,SMA America,STP 50-US-41 [480V],5,"S-Energy Co., Ltd.",SN370M-10(B),902,922000,200244,0,0,0,0,0,0,0,0,333.74,401904,NA,Yes,No,40.73594775,-73.89231304,POINT (-73.89231304 40.73594775)
2023-11-30T00:00:00Z,189561,NA,3231 Richmond Ave,Staten Island,Richmond,NY,10312,New York,City,36085014607,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2019-07-02T00:00:00Z,2021-02-01T00:00:00Z,Complete,"Green Street Power Partners, LLC",No,Yaskawa Solectria Solar,PVI 50TL-480 [480V],13,Sunpower,SPR-X22-360-COM,1884,1711951,406944,0,0,0,0,0,0,0,0,678.24,739192,NA,Yes,No,40.55964307,-74.16883109,POINT (-74.16883109 40.55964307)
2023-11-30T00:00:00Z,158033,NA,1351 Forest Ave,Staten Island,Richmond,NY,10302,New York,City,36085020100,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2018-10-11T00:00:00Z,2020-03-03T00:00:00Z,Complete,"OnForce Solar, Inc.",No,SolarEdge Technologies Ltd.,SE43.2KUS [208V],8,Heliene,72M365,1152,1051200,252288,0,0,0,0,0,0,0,0,420.48,492213,NA,Yes,No,40.62593854,-74.1347144,POINT (-74.1347144 40.62593854)
2023-11-30T00:00:00Z,184486,NA,685 E Fordham Rd,Bronx,Bronx,NY,10458,New York,City,36005039700,Outside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,2019-05-07T00:00:00Z,2019-09-12T00:00:00Z,Complete,"PowerFlex Solar, LLC",No,Yaskawa Solectria Solar,PVI 60TL-480 [480V],12,Hanwha Q Cells,Q.PLUS L-G4.2 345W,2790,1955000,577530,0,0,0,0,0,0,0,0,962.55,1159143,NA,Yes,No,40.85909586,-73.88211295,POINT (-73.88211295 40.85909586)
2023-11-30T00:00:00Z,166421,NA,35-46 65th St,Woodside,Queens,NY,11377,New York,City,36081026100,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-05-17T00:00:00Z,2021-03-24T00:00:00Z,Complete,"Solar Liberty Energy Systems, Inc.",No,SolarEdge Technologies Ltd.,SE14.4KUS [208V],1,Hanwha Q CELLS,Q.PEAK DUO L-G5.2 400,44,46992,10032,0,0,0,0,0,0,0,0,17.6,20954,NA,Yes,No,40.74921393,-73.89767796,POINT (-73.89767796 40.74921393)
2023-11-30T00:00:00Z,174809,NA,2640 Pitkin Ave,Brooklyn,Kings,NY,11208,New York,City,36047119600,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,2019-03-01T00:00:00Z,2019-07-10T00:00:00Z,Complete,GRID Alternatives,No,Enphase Energy Inc.,M250-72-2LL-S2x [208V],84,Canadian Solar Inc.,CS6K-290M,84,69500,24360,0,9744,0,0,0,0,0,0,24.36,30266,NA,Yes,No,40.6747885,-73.87472439,POINT (-73.87472439 40.6747885)
2023-11-30T00:00:00Z,175600,NA,249 Carlton Ave,Brooklyn,Kings,NY,11205,New York,City,36047018300,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-02-26T00:00:00Z,2019-06-03T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB5.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG360Q1C-A5,12,34614.46,2592,0,0,0,0,0,0,0,0,4.32,5400,NA,Yes,No,40.69027929,-73.97210837,POINT (-73.97210837 40.69027929)
2023-11-30T00:00:00Z,186352,NA,100 Merrill Ave,Staten Island,Richmond,NY,10314,New York,City,36085029103,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,2019-05-17T00:00:00Z,2020-02-04T00:00:00Z,Complete,"CES Danbury Solar, LLC",No,"Ningbo Ginlong Technologies Co.,Ltd.",Solis-36K-US [480V],4,"Jinko Solar Co., Ltd",JKM330PP-72,516,311200,102168,0,0,0,0,0,0,0,0,170.28,229114,NA,Yes,No,40.60998414,-74.16342618,POINT (-74.16342618 40.60998414)
2023-11-30T00:00:00Z,188251,NA,416 W 129 St,New York,New York,NY,10027,New York,City,36061021303,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-06-19T00:00:00Z,2020-02-25T00:00:00Z,Complete,Grid City Electric Corp,No,Fronius USA,Fronius Symo 12.0-3 208-240 [208V],2,"S-Energy Co., Ltd.",SN360M-10,67,74156,24120,0,9648,0,0,0,0,0,0,24.12,31023,NA,Yes,No,40.81387422,-73.95232557,POINT (-73.95232557 40.81387422)
2023-11-30T00:00:00Z,186366,NA,819 Williams Ave,Brooklyn,Kings,NY,11207,New York,City,36047109800,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2019-05-17T00:00:00Z,2021-10-01T00:00:00Z,Complete,"Green Street Power Partners, LLC",No,Yaskawa Solectria Solar,PVI 50TL-480 [480V],5,Sunpower,SPR-P17-350-COM,852,832194.4,178920,0,0,0,0,0,0,0,0,298.2,394659,NA,Yes,No,40.65534147,-73.89536449,POINT (-73.89536449 40.65534147)
2023-11-30T00:00:00Z,172966,NA,1216 Bryant Ave,Bronx,Bronx,NY,10459,New York,City,36005012101,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-02-02T00:00:00Z,2019-05-23T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB7.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG360Q1C-A5,21,47275.6,6804,0,0,0,0,0,0,2268,0,7.56,8878,NA,Yes,No,40.82889596,-73.88892837,POINT (-73.88892837 40.82889596)
2023-11-30T00:00:00Z,184321,NA,400 Sterling Pl,Brooklyn,Kings,NY,11238,New York,City,36047020700,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-05-15T00:00:00Z,2019-06-26T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB7.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG360Q1C-A5,18,36503.34,3888,0,0,0,0,0,0,0,0,6.48,8099,NA,Yes,No,40.67482384,-73.96495441,POINT (-73.96495441 40.67482384)
2023-11-30T00:00:00Z,186421,NA,2900 Amboy Rd,Staten Island,Richmond,NY,10306,New York,City,36085013201,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,2019-09-26T00:00:00Z,2020-02-04T00:00:00Z,Complete,"CES Danbury Solar, LLC",No,"Ningbo Ginlong Technologies Co.,Ltd.",Solis-66K-US-F-SW [480V],3,"Jinko Solar Co., Ltd",JKM330PP-72,693,417000,137214,0,0,0,0,0,0,0,0,228.69,307706,NA,Yes,No,40.56740439,-74.12651156,POINT (-74.12651156 40.56740439)
2023-11-30T00:00:00Z,161327,NA,209 Clinton St,Brooklyn,Kings,NY,11201,New York,City,36047004500,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2018-11-22T00:00:00Z,2019-01-03T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB5.0-1SP-US-40 [208V],3,LG Electronics Inc.,LG360Q1C-A5,42,85822,9072,0,0,0,0,0,0,0,0,15.12,20019,NA,Yes,No,40.68918099,-73.99471898,POINT (-73.99471898 40.68918099)
2023-11-30T00:00:00Z,184362,NA,200 6 St,Brooklyn,Kings,NY,11215,New York,City,36047011900,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-05-03T00:00:00Z,2019-06-18T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB7.0-1SP-US-40 [208V],2,Hanwha Q Cells,Q.PEAK DUO L-G5.2 385,42,156849,6597,0,0,0,0,0,0,0,0,16.17,15271,NA,Yes,No,40.67343935,-73.99008753,POINT (-73.99008753 40.67343935)
2023-11-30T00:00:00Z,183168,NA,673 140th St,Bronx,Bronx,NY,10454,New York,City,36005002702,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-09-11T00:00:00Z,NA,Pipeline,Harvest Power,No,SolarEdge Technologies Ltd.,SE14.4KUS [208V],2,"S-Energy Co., Ltd.",SN295M-10,113,77427.28,33335,0,13334,0,0,0,0,0,0,33.33,25264,NA,Yes,No,40.80680967,-73.91329265,POINT (-73.91329265 40.80680967)
