bin,address,heightroof,zonedist1,ratio_residfar,histdist,ElcPrd_MWh,ownername,zipcode,bct2020,agent_name,head_name,officer_name,manager_name,owner_add,agent_add,head_add,officer_add,owner_cat,r_bldgtype,residential,bbl,f_lowroof,f_mzone,f_lowres,f_hd,f_mulbldg,f_disad,f_ll97,f_solrad,f_nys_dac,elcprd_MWh,index
3202112,1900 AVENUE W,62.76,R4,6,NA,97.821595335,1900 TENANTS CORP,11229,3059200,MOSES ECKSTEIN,MOSES ECKSTEIN,MOSES ECKSTEIN,MOSES ECKSTEIN,1358 47TH STREET  BROOKLYN NY 11219,1358 47TH STREET  BROOKLYN NY 11219,1358 47TH STREET  BROOKLYN NY 11219,1358 47 STREET  BROOKLYN NY 11219,Unknown (likely private),coop,1,3074040001,0,0,1,0,0,1,2,0,1,97.821595335,5
3116089,15 CROOKE AVENUE,63.83,R7A,1.15,NA,82.3617464141,15 CROOKE LLC,11226,3050804,SHLOME REIFER,ELEANOR PATRICK,SHLOME REIFER,SHLOME REIFER,3611 14TH AVENUE 603 Brooklyn NY 11218,3611 14TH AVENUE 603 Brooklyn NY 11218,3611 14TH AVENUE 603 Brooklyn NY 11218,3611 14TH AVENUE 603 Brooklyn NY 11218,Unknown (likely private),multiple unit,1,3050580057,0,0,0,0,0,1,2,0,0,82.3617464141,3
3008247,63 SEABRING STREET,17.57,M1-1,Inf,NA,144.967880923,SEABRING LLC,11231,3005900,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3005110012,2,1,0,0,0,0,0,1,1,144.967880923,5
3221961,475 EAST 57 STREET,50.33,R4,4.053333333333334,NA,434.448560106,NAZARETH REGIONAL HIGH SCHOOL,11203,3094600,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3079150010,0,0,1,0,0,0,2,2,0,434.448560106,5
3132397,1637 62 STREET,18.17,M1-1,Inf,NA,187.125851686,YESHIVA TIFERES SHMIEL LLC,11204,3024800,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3055240061,2,1,0,0,0,1,0,1,0,187.125851686,5
3347566,13 BEAVER STREET,50.48,C4-3,1.074074074074074,NA,142.148084185,ELLERY COURT SENIORHOUSING DEVELOPMENT F UND CORP,11206,3038900,FRANK LANG,ADOLFO ALAYON,WILLIAM PERNISEK,CARMEN RODRIGUEZ,2 KINGSLAND AVENUE  Brooklyn NY 11211,2 KINGSLAND AVENUE  Brooklyn NY 11211,339 ELLERY STREET  Brooklyn NY 11206,339 ELLERY STREET  Brooklyn NY 11206,Tax-exempt property,not residential,0,3031320027,0,0,0,0,0,1,2,1,1,142.148084185,5
3188892,2306 NEPTUNE AVENUE,14.23,C8-1,Inf,NA,182.275980323,2306 JV REALTY CORP,11224,3032600,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3070150003,2,0,0,0,0,1,0,1,1,182.275980323,5
3100250,126 EAST 53 STREET,46.01,R6,1.3251028806584362,NA,99.7167949567,GAN EAST LLC,11203,3087800,VAUGHN WILLIAMS,VAUGHN WILLIAMS,NA,VAUGHN WILLIAMS,139 EAST 53 STREET A1A Brooklyn NY 11203,139 EAST 53 STREET  Brooklyn NY 11203,139 EAST 53 STREET A1A Brooklyn NY 11203,NA,Unknown (likely private),multiple unit,1,3046220029,0,0,1,0,1,1,2,0,1,99.7167949567,6
3117590,1800 ALBEMARLE ROAD,63.4,R7A,1.1425,NA,145.941944328,1800 ALBERMARLE INC,11226,3051200,ISAAC ROSENFELD,ISAAC ROSENFELD,JUDA ROSENFELD,FATRI MUCAJ,828 BEDFORD AVE #103 Brooklyn NY 11205,828 BEDFORD AVE #103 Brooklyn NY 11205,828 BEDFORD AVE #103 Brooklyn NY 11205,828 BEDFORD AVE #103 Brooklyn NY 11205,Unknown (likely private),multiple unit,1,3051220001,0,0,0,0,0,0,2,1,0,145.941944328,3
3084284,340 GEORGIA AVENUE,57.7,R6,0.7613168724279835,NA,81.2482049035,NYC HOUSING AUTHORITY,11207,3115600,NA,NA,NA,NA,NA,NA,NA,NA,"State, federal, or public authority",multiple unit,1,3037690030,0,0,1,0,1,1,2,0,1,81.2482049035,6
3181150,1122 AVENUE N,62.21,R5B,3.2,NA,119.442851972,MIDWOOD REALTY ASSOCIATE,11230,3054200,MORDECHAI ROSENBLUM,JOSEPH SPITZER,JOSEPH SPITZER,ARMEN BEHLJULJEVIC,5420 13TH AVENUE  BKLYN NY 11219,5420 13 AVENUE  BROOKLYN NY 11219,5420 13TH AVE  BKLYN NY 11219,5420 13TH AVE  BKLYN NY 11219,Unknown (likely private),multiple unit,1,3067490005,0,0,1,0,0,1,2,1,0,119.442851972,5
3195030,2555 SHELL ROAD,21.56,R4,2.2399999999999998,NA,165.633677201,D & L REALTY ASSOCIATES,11223,3037402,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3071920074,2,0,1,0,0,1,2,1,1,165.633677201,8
3117630,305 EAST 21 STREET,71.34,R7A,0.825,NA,89.509697372,SALEM BAPTIST CHURCH,11226,3051001,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3051250001,0,0,0,0,0,1,2,0,1,89.509697372,4
3037393,1245 EASTERN PARKWAY,63.93555579,R6,1.4773662551440327,NA,120.209392133,1245 REALTY LLC,11213,3035701,OSCAR MONCADA,OSCAR MONCADA,HARRY STEIN,OSCAR MONCADA,1547 PRESIDENT ST 1ST FL BROOKLYN NY 11213,1547 PRESIDENT ST 1ST FL BROOKLYN NY 11213,1547 PRESIDENT ST 1ST FL BROOKLYN NY 11213,1547 PRESIDENT ST 1ST FL BROOKLYN NY 11213,Unknown (likely private),multiple unit,1,3013920023,0,0,1,0,0,1,2,1,1,120.209392133,6
3328998,8515 RIDGE BOULEVARD,53.98187306,R3-2,1.68,NA,239.635500932,THE CORPORATION OF ADELPHI ACADEMY,11209,3006200,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3060330001,0,0,1,0,0,0,2,1,0,239.635500932,4
3335470,611 FLUSHING AVENUE,52.96,M3-1,Inf,NA,77.6782983248,"11 BARTLETT OWNER, LLC",11206,3050700,NA,NA,NA,NA,NA,NA,NA,NA,Private,not residential,0,3022680001,0,0,0,0,0,1,2,0,1,77.6782983248,4
3165744,8514 18 AVENUE,28.99,R5,2.2,NA,153.64078576,1769 BROOKLYN LLC,11214,3017800,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3063430050,2,0,1,0,0,1,2,1,0,153.64078576,7
3154608,9108 COLONIAL ROAD,67.34,R7A,0.9275,NA,103.373096909,"COLONIAL RAOD (BRENDA), LLC",11209,3005201,DAVID SHAPIRO,NA,NA,LUIS MEDINA,NA,66-22 FLEET ST G1 Forest Hills NY 11375,NA,NA,Unknown (likely private),multiple unit,1,3060830041,0,0,0,0,0,1,2,1,0,103.373096909,4
3332170,157 13 STREET,35.97,M1-2,Inf,NA,73.1299889977,BROOKLYN THIRD AVENUE LLC,11215,3011700,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3010270066,0,1,0,0,0,0,0,0,1,73.1299889977,2
3098796,595 BERRIMAN STREET,20.42468741,M1-1,Inf,NA,201.716645592,"SHIVAM ESTATES, LLC",11208,3111600,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3045000046,2,1,0,0,0,1,0,1,1,201.716645592,6
3095889,671 LINCOLN AVENUE,179.14990429,R6,1.7242798353909465,NA,191.967385628,LINDEN PLAZA HSING CO,11208,3120802,CANDICE BLAIR,ALAN SULLIVAN,ROBERT VACCARELLO,CANDICE BLAIR,820 ELMONT RD  ELMONT NY 11003,1619 THIRD AVENUE  New York NY 10128,820 ELMONT RD  ELMONT NY 11003,1619 THIRD AVENUE  New York NY 10128,Tax-exempt property,multiple unit,1,3042710005,2,0,1,0,0,1,2,1,1,191.967385628,8
3397943,599 KINGSTON AVENUE,54.13197047,R6,0.45679012345679015,NA,201.344354937,NYC HEALTH AND HOSPITALS CORPORATION,11203,3080800,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3048120001,0,0,1,0,2,1,2,1,1,201.344354937,8
3204767,2525 HARING STREET,39.57445422,R3-2,1.54,NA,411.747995426,NYC DEPARTMENT OF PARKS AND RECREATION,11235,3059600,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3074470001,0,0,1,0,1,0,2,2,0,411.747995426,6
3336612,25 PAIDGE AVENUE,34.41586087,M3-1,Inf,NA,125.815206759,25 PAIDGE LLC,11222,3057902,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3024910001,0,1,0,0,2,1,0,1,1,125.815206759,6
3042807,1520 HERKIMER STREET,24.17,M1-2,Inf,NA,102.20118899,CALVARY UNIFIED FREE,11207,3036700,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3015760009,2,1,0,0,0,0,0,1,1,102.20118899,5
3325868,250 JOHNSON AVENUE,25.61,M1-1,Inf,NA,180.075458981,SPG 250 JOHNSON AVE LLC,11206,3048500,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3030730028,2,1,0,0,0,0,0,1,1,180.075458981,5
3425700,822 LEXINGTON AVENUE,70.0,R6A,1.2666666666666666,NA,108.305732766,"LEXINGTON HEIGHTS LLC,",11221,3038700,SOLOMON SCHWIMMER,SOLOMON SCHWIMMER,NA,SHIMSHY BRAVER,54 THROOP AVE 1B Brooklyn NY 11206,54 THROOP AVE 1B Brooklyn NY 11206,54 THROOP AVE 1B Brooklyn NY 11206,NA,Unknown (likely private),multiple unit,1,3016280024,0,0,1,0,0,1,2,1,1,108.305732766,6
3332673,124 MONTGOMERY STREET,71.31820274,R6A,0.41333333333333333,NA,123.729415818,960 FRANKLIN LLC,11225,3021300,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3011920046,0,0,1,0,2,0,2,1,0,123.729415818,6
3326019,75 HENRY STREET,294.40279243,R8,0.7059800664451827,NA,129.459822044,WHITMAN OWNERS CORP,11201,3000100,DAVID GRILLO,ALLEN ROSEN,NA,DAVID GRILLO,75 HENRY STREET  Brooklyn NY 11201,75 HENRY STREET  Brooklyn NY 11201,75 HENRY STREET  Brooklyn NY 11201,NA,Unknown (likely private),coop,1,3002170001,2,0,0,0,2,0,2,1,0,129.459822044,7
3037964,1651 CARROLL STREET,49.28,R4,3.893333333333333,NA,75.4396572272,PERS REALTY LLC,11213,3034902,URIAH JAMES,URIAH JAMES,URIAH JAMES,JAMES URIAH,438 KINGSTON AVENUE  BROOKLYN NY 11225,438 KINGSTON AVENUE  BROOKLYN NY 11225,438 KINGSTON AVENUE  BROOKLYN NY 11225,438 KINGSTON AVE  BKLYN NY 11225,Unknown (likely private),multiple unit,1,3014090001,0,0,1,0,0,1,2,0,1,75.4396572272,5
3336749,1633 SHEEPSHEAD BAY ROAD,25.33,C4-2,0.7695473251028806,NA,85.3579625171,S & I CONEY ISLAND REALTY,11235,3060000,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3074620061,2,0,0,0,0,0,0,0,0,85.3579625171,2
3084730,673 LIVONIA AVENUE,15.22,R6,0.3415637860082304,NA,106.498277948,"ELDERSERVE HEALTH, INC.",11207,3112600,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3038080001,2,0,1,0,0,1,0,1,1,106.498277948,6
3098933,1010 STANLEY AVENUE,21.84764485,M1-1,Inf,NA,603.81191571,SPG 1010 STANLEY LLC,11208,3111600,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3045240001,2,1,0,0,0,1,2,2,1,603.81191571,9
3172622,1530 MCDONALD AVENUE,13.39,C8-2,Inf,NA,392.883563012,M D M REALTY LLC,11230,3044600,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3065630010,2,0,0,0,0,1,2,2,0,392.883563012,7
3397137,115 FOUNTAIN AVENUE,33.06152095,R6A,7.503333333333334,NA,130.243393335,LIBERTY APT HOUSING DEVEL FUND CORP,11208,3119600,JODY-ANN CLUNIS WEBB,MARTIN DUNN,MICHELLE NEUGEBAUER,JODY-ANN CLUNIS WEBB,589 SACKETT ST FL 2 BROOKLYN NY 11217,1776 EASTCHESTER ROAD 210 Bronx NY 10461,589 SACKETT ST 2 FL BROOKLYN NY 11217,625 JAMAICA AVE  BROOKLYN NY 11208,Tax-exempt property,multiple unit,1,3041910016,0,0,1,0,0,1,2,1,1,130.243393335,6
3199402,2134 HOMECREST AVENUE,65.48,R5,3.136,NA,99.0759290992,MGA REALTY CORP,11229,3058200,CARLO DIMAGGIO,CARLO DIMAGGIO,ANGELO DIMAGGIO,NADIL DJELOSEVIC,P.O. BOX 392  Glen Cove NY 11542,2285 OCEAN AVENUE OFFICE BROOKLYN NY 11229,P.O. BOX 392  Glen Cove NY 11542,P.O. BOX 392  Glen Cove NY 11542,Unknown (likely private),multiple unit,1,3073440020,0,0,1,0,0,1,2,0,0,99.0759290992,4
3039376,1939 PARK PLACE,46.79,C8-2,Inf,NA,78.1256836176,PARK MONROE II REHAB HOUSING DEVELOPMENT  FUND CORP,11212,3036300,CHRISTOPHER CRANDON,CLAUDETTE HENRY,NA,NA,221-10 JAMAICA AVENUE FLOOR Queens Village NY 11428,221-10 JAMAICA AVENUE FLOOR Queens Village NY 11428,221-10 JAMAICA AVENUE FLOOR Queens Village NY 11428,NA,Tax-exempt property,multiple unit,1,3014650050,0,0,0,0,0,1,2,0,1,78.1256836176,4
3048929,665 WILLOUGHBY AVENUE,49.50084793,R6B,0.375,NA,64.0104190764,COMMUNITY DEVELOPMENT SUPPORT SERVICES F OUNDATION,11206,3028300,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3017610066,0,0,1,0,0,1,0,0,1,64.0104190764,3
3042263,1339 HERKIMER STREET,78.77289529,R6,1.02880658436214,NA,129.26103255,NYC DEPARTMENT OF EDUCATION,11233,3036900,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3015520043,0,0,1,0,1,1,2,1,1,129.26103255,7
3116122,67 ST PAULS PLACE,46.6,R7A,0.6375,NA,88.4174136848,SAN PAUL REALTY CO,11226,3050804,ARON WITZNITER,J ROSENFELD,J ROSENFELD,JAIMY GARCIA,5318 NEW UTRECHT AVENUE 2ND FL BROOKLYN NY 11219,5318 NEW UTRECHT AVENUE 2ND FL BROOKLYN NY 11219,5318 NEW UTRECHT AVE 2ND FL BROOKLYN NY 11219,5318 NEW UTRECHT AVE 2ND FL BROOKLYN NY 11219,Unknown (likely private),multiple unit,1,3050610006,0,0,0,0,0,1,2,0,0,88.4174136848,3
3073258,72 WYCKOFF AVENUE,19.37,M1-1,Inf,NA,241.483525237,"SANDRA ROSENBAUM, TRUSTEE",11237,3044500,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3032210035,2,1,0,0,0,1,0,1,1,241.483525237,6
3331443,9910 SEAVIEW AVENUE,75.51,R5,0.8640000000000001,NA,48.6002778611,NYC HOUSING AUTHORITY,11236,3103401,NA,NA,NA,NA,NA,NA,NA,NA,"State, federal, or public authority",multiple unit,1,3083290225,0,0,1,0,2,1,2,0,1,48.6002778611,7
3157168,1526 70 STREET,15.33,R5,0.608,NA,183.929020209,PICK QUICK FOODS INC,11228,3019000,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3061690015,2,0,1,0,0,1,0,1,0,183.929020209,5
3328019,2060 PITKIN AVENUE,59.78,R6,0.8518518518518517,NA,126.178220692,2060 PITKIN HOUSING DEVELOPMENT FUND COR PORATION,11207,3114400,TERESSA SMITH,RICK GROPPER,NA,NATASHA CARTER,2060 PITKIN AVENUE MGMT Brooklyn NY 11207,1783A MADISON AVENUE 1ST FL NEW YORK NY 10035,116 E 27TH STREET 11TH F NEW YORK NY 10016,NA,Tax-exempt property,multiple unit,1,3037370001,0,0,1,0,2,1,2,1,1,126.178220692,8
3326600,240 LOTT AVENUE,61.19687462,R6,0.868312757201646,NA,336.69794265,"PLAZA RESIDENCES, LP",11212,3092000,FERMIN GARCIA,ANSEL DUVIVIER,NA,EBONY CORTES,909 THIRD AVENUE 21ST F NEW YORK NY 10022,909 THIRD AVENUE 21ST F NEW YORK NY 10022,909 THIRD AVENUE 21ST F NEW YORK NY 10022,NA,Tax-exempt property,multiple unit,1,3036280001,0,0,1,0,2,1,2,1,1,336.69794265,8
3236496,1420 EAST 67 STREET,44.38,R3-1,1.18,NA,629.745876168,NYC DEPARTMENT OF PARKS AND RECREATION,11234,3069602,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3083880002,0,0,1,0,1,0,2,2,0,629.745876168,6
3343956,3715 NOSTRAND AVENUE,14.64076267,R5,0.728,NA,118.311685412,NOSTRAND SHOPPERS INC,11235,3059402,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3074220061,2,0,1,0,0,1,0,1,0,118.311685412,5
3167740,8729 18 AVENUE,15.07,C8-1,Inf,NA,151.295018006,2772 WEST 15TH STREET ASSOCIATES INC.,11214,3028000,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3064030012,2,0,0,0,0,1,0,1,0,151.295018006,4
3038278,776 CROWN STREET,64.83,R7-1,0.9186046511627908,NA,85.5515569612,776 C LLC,11213,3035500,DAVID TENNENBAUM,DAVID TENNENBAUM,NA,NA,20 S BROADWAY 300 Yonkers NY 10701,49 WEST 27TH STREET LBY New York NY 10001,20 S BROADWAY 300 Yonkers NY 10701,NA,Unknown (likely private),multiple unit,1,3014190039,0,0,0,0,0,1,2,0,1,85.5515569612,4
3104598,5800 TILDEN AVENUE,69.14017927,R4,1.4533333333333334,NA,909.814177171,NYC DEPARTMENT OF EDUCATION,11203,3093600,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3047420001,0,0,1,0,1,0,2,3,0,909.814177171,7
3137472,1360 48 STREET,64.84,R6,2.049382716049383,NA,89.8265428273,"1360 REALTY,",11219,3023400,DAVID NIERENBERG,DAVID NIERENBERG,NA,BEATA KAPUSCINSKA,1388 CONEY ISLAND AVENUE  BROOKLYN NY 11230,1388 CONEY ISLAND AVENUE  BROOKLYN NY 11230,1388 CONEY ISLAND AVE  BROOKLYN NY 11230,NA,Unknown (likely private),multiple unit,1,3056350028,0,0,1,0,0,1,2,0,0,89.8265428273,4
3235273,2082 ROCKAWAY PARKWAY,21.06,R5,0.384,NA,445.743166482,BELT ROCK REALTY LLC,11236,3102801,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3083310006,2,0,1,0,1,0,0,2,0,445.743166482,6
3070662,54 KNICKERBOCKER AVENUE,50.91,M1-1,Inf,NA,109.722919043,HARRISON-KNICKERBOCKE,11237,3045300,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),multiple unit,1,3030030012,0,1,0,0,0,1,2,1,1,109.722919043,6
3062367,193 BERRY STREET,27.28,M1-2/R6B,1.295,NA,332.940252024,CAB BEDFORD LLC,11249,3055300,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3023510006,2,1,0,0,2,0,2,1,0,332.940252024,8
3106488,1487 SCHENECTADY AVENUE,27.56,M1-3,Inf,NA,819.326806274,"EAST 48TH STREET, LLC",11203,3093200,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3047860022,2,1,0,0,0,1,2,3,0,819.326806274,9
3107731,711 PARKSIDE AVENUE,12.6,R6,0.3045267489711934,NA,240.123573335,"THE HEALTH SCIENCE CENTER AT BROOKLYN FO UNDATION,",11226,3080400,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3048270014,2,0,1,0,0,0,0,1,0,240.123573335,4
3070299,309 MORGAN AVENUE,15.47,R6B,0.43,NA,111.244696171,"FOUR.N.BAYRASLI, INC.",11211,3048100,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3029130035,2,1,1,0,0,1,0,1,1,111.244696171,7
3325682,201 HARRISON PLACE,42.57,M1-2,Inf,NA,178.701560345,220 INGRAHAM LLC C/O,11237,3045300,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3030010001,0,1,0,0,2,1,2,1,1,178.701560345,8
3034563,421 EMPIRE BOULEVARD,40.1,R6,0.24691358024691357,NA,89.7727134682,NYC POLICE DEPARTMENT,11225,3033100,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3013100001,0,0,1,0,0,1,0,0,0,89.7727134682,2
3114023,3201 GLENWOOD ROAD,47.52,R6,1.3209876543209875,NA,81.9833166453,3201 GLENWOOD ROAD LLC,11210,3078602,YONAH FRIEDMAN,DAVID SPECTOR,SHLOMIE MORGENSTERN,CONRAD MARTINS,125 KINGSLAND AVENUE  Clifton NJ 07014,413 AVENUE L  Brooklyn NY 11230,125 KINGSLAND AVENUE  Clifton NJ 07014,125 KINGSLAND AVENUE  Clifton NJ 07014,Unknown (likely private),multiple unit,1,3050070006,0,0,1,0,0,1,2,0,0,81.9833166453,4
3039499,1682 ST JOHNS PLACE,15.72861601,R6,0.6172839506172839,NA,216.817421407,"BOGOPA 1682, LLC",11233,3036100,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3014730016,2,0,1,0,0,1,0,1,1,216.817421407,6
3047914,196 CHAUNCEY STREET,48.0,R6B,0.205,NA,481.247215963,NYC DEPARTMENT OF EDUCATION,11233,3038100,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3016920017,0,0,1,0,1,1,0,2,1,481.247215963,6
3132047,6015 16 AVENUE,15.29,M1-1,Inf,NA,177.781560711,6015 16TH AVENUE REALTY LLC,11204,3024200,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3055170001,2,1,0,0,0,1,0,1,0,177.781560711,5
3336311,395 COURT STREET,52.13670288,R6A,1.4433333333333334,NA,49.0678510342,FNA RLTY CORP,11231,3007700,MIKE JR AZIZ,MIKE AZIZ JR,MIKE AZIZ JR,MIKE JR AZIZ,435 COURT STREET B BROOKLYN NY 11231,435 COURT ST B BROOKLYN NY 11231,435 COURT ST B BKLYN NY 11231,435 COURT ST B BROOKLYN NY 11231,Unknown (likely private),multiple unit,1,3004590002,0,0,1,0,0,0,2,0,1,49.0678510342,4
3328270,1401 NEWKIRK AVENUE,18.28226107,R6A,0.23666666666666666,NA,305.114142206,NEWKIRK GROUP LLC,11230,3052000,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3052000027,2,0,1,0,0,1,0,1,0,305.114142206,5
3078191,1243 BUSHWICK AVENUE,55.64,R6,0.3333333333333333,NA,41.9467272692,BUSHWICK FAMILY MINISTRIES COGOP CORP,11221,3039900,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3033950001,0,0,1,0,0,1,0,0,1,41.9467272692,3
3395801,2A 52 STREET,60.73,M3-1,Inf,NA,43.7299312872,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,11232,3001803,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3008030005,0,1,0,0,2,0,2,0,1,43.7299312872,6
